,SN,Freq,Level,Time,Freq Offset,Level Offset
184,185,1.183 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
524,525,1.523 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
640,641,1.639 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
192,193,1.191 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
930,931,1.929 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
254,255,1.253 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
407,408,1.406 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
475,476,1.474 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
266,267,1.265 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
373,374,1.372 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
43,44,1.042 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
203,204,1.202 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
304,305,1.303 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
726,727,1.725 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
52,53,1.051 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
771,772,1.77 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
877,878,1.876 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
579,580,1.578 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
600,601,1.599 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
742,743,1.741 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
736,737,1.735 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
166,167,1.165 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
673,674,1.672 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
554,555,1.553 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
448,449,1.447 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
201,202,1.2 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
17,18,1.016 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
971,972,1.97 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
415,416,1.414 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
629,630,1.628 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
159,160,1.158 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
836,837,1.835 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
404,405,1.403 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
792,793,1.791 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
998,999,1.997 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
348,349,1.347 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
210,211,1.209 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
229,230,1.228 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
898,899,1.897 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
796,797,1.795 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
811,812,1.81 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
536,537,1.535 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
11,12,1.01 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
85,86,1.084 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
980,981,1.979 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
688,689,1.687 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
783,784,1.782 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
133,134,1.132 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
223,224,1.222 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
669,670,1.668 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
487,488,1.486 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
3,4,1.002 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
146,147,1.145 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
454,455,1.453 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
14,15,1.013 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
293,294,1.292 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
358,359,1.357 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
781,782,1.78 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
103,104,1.102 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
77,78,1.076 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
7,8,1.006 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
158,159,1.157 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
947,948,1.946 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
701,702,1.7 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
338,339,1.337 GHz,20.0 dBm,100.0 ms,0.0 dB,0.0Hz
